Review;Label;Sentiment;Domain
Had the free version and decided to upgrade after liking it so much.  Some features still don't work well like adding files from iOS.  You have to open the app to add files.  Really like the fake pin option which allows someone to breakin the phone but doesn't show your files. I keep my id's and credit cards on the app so I always have them with me. I don't buy many apps but this was one I glad to have made the investment.;Usa;Positive;PhotosVideos    
Had this app for a year now and no problems at all. ;Mis;Negative;PhotosVideos   
Have been using this app for a year now. Have never lost a pic and it is so easy to use Definitely recommend;Mis;Positive;PhotosVideos   
Have had this app for almost a year, started with free then premium and I'm highly satisfied. Love every feature it has ;Mis;Positive;PhotosVideos   
Hell Ive even got some pictures of the Bible in here;Mis;Negative;PhotosVideos    
Hi i am enjoying using keepsafe app i do recommended to anyone;Mis;Positive;PhotosVideos   
How can I delete the app without getting charged for the premium since I cannot go back to basic before the 31 day trial ;Mis;Positive;PhotosVideos    
How do I get my money back I did not want to pay 25 for the year I need my money back;Mis;Neutral;PhotosVideos    
I accidentally deleted the app and then redownloaded it only to find out all my photos were deleted and wiped. Do not download the app;Dep;Negative;PhotosVideos    
I added some new photos in my keep safe and then I deleted  keep safe and the photos I added aren't there why ;Dep;Positive;PhotosVideos   
I appreciate having this app very much. Appears secure. Good features.;Mis;Positive;PhotosVideos   
I can always depend on this app to hide certain photos and documents. Love the trash upgrade.;Mis;Positive;PhotosVideos   
I can hide my porn now. Perfect app for that.;Mis;Positive;PhotosVideos   
I can't get in the app;Mis;Neutral;PhotosVideos   
I couldn't love this app anymore. Easy to use and not glitchy at all. Every update makes it even better.;Mis;Positive;PhotosVideos   
I deleted this app after I saved all the pictures I want and I downloaded it again and when I logged in it had the amount of pictures I saved but the pictures weren't even there;Dep;Positive;PhotosVideos   
I deleted this app in less than 15 minutes.;Mis;Neutral;PhotosVideos    
I did experience the recent problem with the app crashing, but with lead from a rash review rant because plenty of others submitted theirs, and I hoped the problem would get fixed soon. And sure enough, another prompt update comes out the next day and fixes the problem. Good job team, thanks for looking out. I'm going to leave 4 Stars for now though, because I don't like ads.;Mis;Negative;PhotosVideos    
i downloaded this app about 2 years ago and it deleted many of my photos and i could not get them back;Dep;Neutral;PhotosVideos   
I got this app to keep sensitive information safe. It is not let me down ones. Better yet, they keep adding features to make my life easier. Storing my information in the cloud with compressed versions on my phone saves space and gives me peace of mind if something happens to my phone, I don't lose what's important to me. Photo editing, breakin alerts, and other new features keep me a satisfied Keepsafe customer;Mis;Positive;PhotosVideos   
I had Keepsafe for many months. I then checked on it one day, I didn't update my phone or anything and all my photos were gone I don't know what to do to recover my hundreds of photos;Dep;Neutral;PhotosVideos   
I had over 300 plus photos that somehow got deleted when an update was done, you can not contact them for any help, I would caution if you think saving photos here that you always get them, I found out the hard way. I would make sure you have backed up elsewhere.;Dep;Positive;PhotosVideos   
I have been using this app from past 2 years, easy to use, more reliable, secured and thumbs up for TouchID protection. Thanks Dev Team;Mis;Positive;PhotosVideos   
I have continued to be charged monthly despite being asked multiple times to cancel. I even uninstalled this app months ago and I'm still being charged.;Mis;Negative;PhotosVideos   
I have had 1 issue where, throughout the 5 years I've used this app, my photos went missing. I lost all but 3 of my 4050 pictures. This was unfortunate, but what can you do If you really need to have certain videosphotos I'd suggest backing it up on your computer, then keeping it in this app on your phone. For me, the point is that it's not in my camera roll.;Dep;Negative;PhotosVideos   
I have had this APP for well over a year and it has never let me down. I've changed phones multiple times and it has even warned me about the new iso10 software upgrade issues before Apple even did. I highly recommend this APP for a secure way to save your important photos;Dep;Positive;PhotosVideos   
I have pictures of me in the old wife on here reading the Bible together ;Mis;Neutral;PhotosVideos    
I have purchased keepsafe on my last 3 iPhones and I have even recommended it to many friends.;Mis;Positive;PhotosVideos   
I have the free version, and I love it.;Mis;Positive;PhotosVideos   
I have tried many photo storage apps but this one takes the cake. I am pretty frugal but after a year of using it I decided to buy a year membership. Worth EVERY penny, and I won't go back. Keep it awesome;Mis;Positive;PhotosVideos   
I hide alot off things in here ........if someone gets in then the whole worls is at stakes........good product sell its self;Mis;Negative;PhotosVideos   
I highly recommend this app.  ;Mis;Positive;PhotosVideos   
I hope all the best for the company;Mis;Positive;PhotosVideos   
I hope they'll consider onetime payment schema.. i dont need the cloud service.. so i dont wAnna pay annually..just need the app;Sup;Positive;PhotosVideos    
I just don't like how it runs out of storage other than that its 5 stars;Mis;Negative;PhotosVideos    
I just don't like the way I can't go back to my deleted photos;Mis;Negative;PhotosVideos    
I just gotta say I love this app;Mis;Positive;PhotosVideos   
I like this app and I segues to make stronger security by making six digit password and thanks alot;Mis;Positive;PhotosVideos   
I like this app but one of my videos cant play..please fix ;Usa;Positive;PhotosVideos   
I like this app it functions very well;Mis;Positive;PhotosVideos   
I looked on my phone one day and there were two of each picture. So I deleted one of each. As soon as I did. All the pictures disappeared. This angers me on belief, now it wants me to buy premium to get them back. FIX THIS ISSUE;Dep;Negative;PhotosVideos   
I lost all of my pictures because of some stupid update they tried to do which has the app glitching. 2 years of pictures down the toilet thanks a lot KeepSafe;Dep;Negative;PhotosVideos   
I love being able to store secure photos. ;Mis;Positive;PhotosVideos   
I love how the app has really thought about things how you can fake the app is something that checks for errors and then you can log in for the real stuff or use a second password and see a different photo album there are so many features it's so worth the money;Mis;Positive;PhotosVideos   
I love my keepsafe. No one can see my pictures with out my knowledge.;Mis;Positive;PhotosVideos   
I love this app about to expose my girl for being a ho thank you keep safe had her nudes over 2 years and now getting my payback;Mis;Positive;PhotosVideos   
I love this app and recommend it to everyone, it's perfect and works great;Mis;Positive;PhotosVideos   
I love this app  Tried the free version first but then I paid for upgrade and it's worth every penny. They have improved it tremendously from previous version and it was good even then. Perfect for saving photos and memories. Developers of this app deserve so much recognition for this one;Mis;Positive;PhotosVideos   
I love this app It's on point;Mis;Positive;PhotosVideos   
I Love this app, I've been using it for years and it's really a life saver.;Mis;Positive;PhotosVideos   
I love this program   Easy to use, great features and attentive and helpful customer service.;Mis;Positive;PhotosVideos   
I loved this app. But forcing me to buy premium by shoving ads at me at random times is a terrible business model. I will not buy premium to support a company that thinks pop up ads are needed.;Usa;Positive;PhotosVideos   
I mainly use the app to hide nude pictures of my sex adventures. In over three years I have not been caught once;Mis;Positive;PhotosVideos   
I need my account back I have files that important and photos And or my money back;Dep;Positive;PhotosVideos   
I paid just so I could recover photos I had on a previous phone and all the photos are just black.  Please fix or refund please;Dep;Positive;PhotosVideos   
I really like the new design. KeepSafe has been super helpful to me. One of the most important apps on my phone;Mis;Positive;PhotosVideos   
I really like this app and my videos are safe but they won't play. Hmmm what's up with that;Usa;Positive;PhotosVideos  
I really like this app for keeping certain videos and pictures private. It's the ultimate app for discretion, and I highly recommend it if you have nosy friends or small kids. ;Mis;Positive;PhotosVideos   
I recommend I've had this app now for 3 years and I love it;Mis;Positive;PhotosVideos   
I stick to this app vs all others because you can delete the app with pics still on it and when you download it back again login and boom your pics right there;Mis;Neutral;PhotosVideos   
I think it's great. It secures pictures  everything else you don't want others to see while they're on your phone.;Mis;Positive;PhotosVideos   
I think the functionality and design of the staff are great. I remember it.;Mis;Positive;PhotosVideos   
I TRIED A LOT OF PROGRAMS LIKE THIS ONE AND THIS IS THE PROGRAM THE I WAS LOOKING FOR I LOST M PHONE AND I HAVE BACK ALL ME PICTURES I LOVET REALLY GOOD IM SO HAPPY  WITH THE PROGRAM ;Dep;Positive;PhotosVideos   
I tried the free version, upgraded to the paid, and bought additional cloud storage.  So far, all good investments.;Mis;Positive;PhotosVideos   
I tried this app while looking for options for completely private photo storage, and though it sounded OK at first, it rots. ;Mis;Positive;PhotosVideos    
I upgraded to premium saved twenty or so pictures and later the same day accidentally uninstalled keepsafe and all of my pictures were gone off my keepsafe anyway to get them back Deleted the originals.;Dep;Positive;PhotosVideos   
I went to purchase the 1.99 premium for a month, just so I can see what photos I had previously deleted. When it charged me with the yearly subscription of 23.99. I'm very upset about this and want a refund.;Dep;Negative;PhotosVideos   
I will cry if I don't get my pictures back. my most meaningful pictures. gone. how could this happen you guys need to FIX this NOW. I want my pictures back. It is such a devastating and heart breaking feeling to loose such meaningful pictures. Please. FIX THIS NOW;Mis;Negative;PhotosVideos    
I will not regret getting this app. Most useful.;Mis;Positive;PhotosVideos   
I wish I could give this 0 stars, they def should be more clear when saying 1.99 a month that they are gonna charge you 24 for the whole year up front This app is definitely not worth 24 never would've paid that if I knew;Mis;Positive;PhotosVideos    
I would've given it five stars, but the ridiculous ads that take up my entire screen just make me want to install a different app.;Usa;Negative;PhotosVideos    
I'm enjoying the app;Mis;Positive;PhotosVideos   
I'm one of those that deletes app ever other week or so.;Mis;Neutral;PhotosVideos    
I've been a user for about 3 years now After numerous improvements and bug fixes to keep the user happy Keepsafe has finally done it it's perfect I couldn't ask for a better app Definitely has saved my life many times lol.;Mis;Positive;PhotosVideos   
I've been using this app for a couple years now and it's just been an awesome way to keep my private photos private;Mis;Positive;PhotosVideos   
I've Been with keep safe from the begging. I'm extremely furious at the fact that ALL OF MY STUFF WAS DELETED WITHOUT MY PERMISSION.;Dep;Negative;PhotosVideos   
I've had it for years. Super helpful to separate photos that I don't want out in the open when I flick through my camera roll;Mis;Positive;PhotosVideos   
I've had this app to store my secondary photo album and I absolutely love it;Mis;Positive;PhotosVideos   
I've just used the free version and it does everything I need. All my stuff is backed up to the cloud so even if I switch devices I still have them. Constant updates. Never really had issues with any bugs. If the paid subscription was cheaper I would let mind paying for the extras. But too much imo.;Dep;Positive;PhotosVideos   
I've used it for quite a while and it has been fantastic. Touch ID is an added plus;Mis;Positive;PhotosVideos   
If you need an app that will store your private pictures and is password protected this app does just that. You can even delete pictures from your camera reel after importing them into Keepsafe. So I thought that was a pretty neat feature too.;Mis;Positive;PhotosVideos   
Instead of making every attribute to keepsafe only recoverable with premium, you guys should sell them individually because I would most definitely pay 1.99 each time I need to recover things in the trash.  I would never pay 23.99 a year for that and I am probably speaking for every other user of keepsafe. Just a point you guys should act on.;Mis;Positive;PhotosVideos    
It don't save the pictures all the time and if it do they delete them..;Dep;Negative;PhotosVideos   
It is a good app but I would suggest not putting anything on there that can expose person information or intimate pictures it's a app they can access that stuff. Also before you delete make sure to back everything up outside the app so you loose nothing be careful with this app but there is good things to like the secret door or the picture taking of hackers;Mis;Positive;PhotosVideos   
It is better thin the other App out there and it's simple to use.;Mis;Positive;PhotosVideos   
It is perfect for hiding pictures or ever just for extra storage. Has many great features;Mis;Positive;PhotosVideos   
It is really good ... I love that I can keep my pictures in it save and sound ...;Mis;Positive;PhotosVideos   
It keeps all my private photos together nicely. It is effortless to uploadshare to app. Simple and easy. I think anyone can do successfully. Great app. 5 stars without question I wish all apps were this good;Mis;Positive;PhotosVideos   
It says I can pay 1.99 monthly which I'm trying to buy for one month to see how I like it but it's forcing me to have to pay 23.99;Mis;Neutral;PhotosVideos    
It was really nice to get this apps I like it so much and I advise you all to have it in ur phones;Mis;Positive;PhotosVideos   
It works great so far, but could be even better with future updates. Wish the free version had more features;Mis;Positive;PhotosVideos   
It works like it should and it's easy to use. Can't get any better than that.;Mis;Positive;PhotosVideos   
It works so well. Setup is simple and now I have a private space on my phone;Mis;Positive;PhotosVideos   
It's a good app for its purpose my only problem is that, getting photos back you delete or accidentally get deleted shouldn't be a premium options;Mis;Negative;PhotosVideos    
It's a great way for me to store Keyerra's boyfriend's  in my phone ;Mis;Positive;PhotosVideos   
It's a really good app,  finally found a good app that will actually had my photos so nobod else can see them and it actually works I'm very please with this app;Mis;Positive;PhotosVideos   
It's an awesome app for secure photos;Mis;Positive;PhotosVideos   
It's nice when something works as advertised. I didn't need or want anything fancy, just wanted something that works...and this does;Mis;Positive;PhotosVideos   
It's the best app I've used to store my pictures, I've upgraded to the pay one and don't regret it;Mis;Positive;PhotosVideos   
It's very helpful and organized;Mis;Positive;PhotosVideos   
It's very useful in keeping private the important documents;Mis;Positive;PhotosVideos   
It's worth to sign up to be a premium member..it's sure saves me from headache..;Mis;Positive;PhotosVideos   
Keep all pics organized and safe;Mis;Positive;PhotosVideos   
Keepsafe is wonderful All my photos are not just out for public view when others are using my phone.;Mis;Positive;PhotosVideos   
Keepsafe puts your files in their cloud WITHOUT ALERTING YOU, then does NOT give you the option to remove them from the cloud. In other words they have permission to steal your private files. They have refused to respond to my requests for help in deleting files off the cloud. DO. NOT. USE.;Mis;Negative;PhotosVideos    
Long time user. Pretty easy to use and nice option to keep things precious to you safe. Worth the upgrade for the premium options.;Mis;Positive;PhotosVideos   
Lost everything I had on this app, support group said to update my iPhone, I did with no help plus the update I hate. No way I can replace my kids photos.;Dep;Negative;PhotosVideos   
LOVE is an understatement. Perfect for hiding pictures and videos. Love the passcode lock. Seriously considering upgrading to the premium. It's beyond worth it;Mis;Positive;PhotosVideos   
Love it, great app love the cloud feature and back up;Mis;Positive;PhotosVideos   
Love it, this is the best app for photos;Mis;Positive;PhotosVideos   
Love the app hate all the ads that pop up And also wondering if it can retrieve old videos from old phone, the pix came threw but not the videos;Mis;Positive;PhotosVideos   
Love the security it offers and the space saving features.;Mis;Positive;PhotosVideos   
Love this app  Had the free version for a while but bought the premium a few months ago and love it.;Mis;Positive;PhotosVideos   
Love this app Never crashes and does what it says;Mis;Positive;PhotosVideos   
Love this app, it is perfect for my needs and I've tried a lot of apps and this is by far my favorite;Mis;Positive;PhotosVideos   
Love this app. I have had a few locked photos app and this one by far is the best.;Mis;Positive;PhotosVideos   
Love this appp Nothing is better then this ;Mis;Positive;PhotosVideos   
Make sure you double check that your photos are there after transferring them from your photo gallery before permanently deleted them. This POS app lost my pics. Ive been using this app for years and now I'm canning it;Dep;Neutral;PhotosVideos   
Makes it very easy to keep pictures videos not only private, but easily organized. One of my most useful apps.;Mis;Positive;PhotosVideos   
I have had this app for years. Still no complaints;Mis;Negative;PhotosVideos   
Keepsafe is such a great app.;Mis;Positive;PhotosVideos   
Great app, does exactly what it's supposed to. Seamless Sharing between all devices.;Mis;Positive;PhotosVideos   
Keeps all of my personal files out of reach of someone who might be borrowing my phone and scrolls too far...;Mis;Neutral;PhotosVideos   
Es una app verstil y muy rpida;Mis;Neutral;PhotosVideos   
Its nice to know there is a secure place to put documents on my phone that wont mistakenly be opened by anyone. My grandkids cant access or delete, nice;Mis;Positive;PhotosVideos   
DELETED HALF MY PICS, BOUGHT PREMIUM TO GET THEM BACK.   DELETED THE NEXT HALF AND NOW CANT GET OFF PREMIUM.  PLEASE KEEPSAFE EMAIL ME HELP ME I AM BEGGING YOU.  YOU TOOK ALL MY PHOTOS AND NOW MY MONEY;Dep;Positive;PhotosVideos   
No complaints, been using it for years now;Mis;Negative;PhotosVideos   
Its not letting me import files from my gallery to the apps cloud yet it tells me I still have a lot of available space on the cloud... it was great until it stopped working ;Dep,Usa;Positive;PhotosVideos   
Takes up a lot of space on phone but very useful for storing photos and videos on your phone without having to have them in your camera roll.;Per;Positive;PhotosVideos   
Ive never had any problems, works great;Mis;Positive;PhotosVideos   
The most complete app for hide photos;Mis;Negative;PhotosVideos   
Love it had it for about 4 years on 3 phones this app is very safe and doesn't fail me one bit;Mis;Positive;PhotosVideos   
I really like this app.It keeps all my photos saved and secured.Its password protected album keeps anyone who I dont want to see my picture out of the problem.I dont have to worry about security because I know its taken care of.Also it helped with the spacing issue on my iPhone.;Mis;Positive;PhotosVideos   
Its reliable way to keep files and photos;Mis;Neutral;PhotosVideos   
Had sensitive data stored in this app for a year, and now app will not open to password page. Loved it while it lasted but now my documents are disappeared and to where Who knows Files stored that I can no longer access does not exactly equate to secure.;Dep,Usa;Positive;PhotosVideos   
This is one of the best apps Ive ever used. High satisfied.;Mis;Positive;PhotosVideos   
Like that I have control of my pictures and important pictures of documents. I recommend it;Mis;Positive;PhotosVideos   
"I don't have any problems having the app It saves my stuff even when I don't have the app on my phone. I love the app. Very useful Ive had it since I was young in age  still keep important stuff in there  it saves everything like iCloud. The iPhone; comes out which mines I will have to download KeepSafe again  I wont have to worry because this amazing app keep my important stuff safe  in the cloud Great app download it ASAP";Mis;Positive;PhotosVideos   
it keeps my pictures for about a week then deletes them, then it tells me i have to buy premium to get the all back.;Dep,Usa;Neutral;PhotosVideos    
I love this app. Ive been using it for years and have even recommended it to family friends for storing photos, videos and any other information you dont want to lose. I love that it keeps everything stored and you can login into it from any phone that the app is on and retrieve what you stored.;Mis;Positive;PhotosVideos   
Won't say what I keep in here but for most young folk I'm sure it's the same type of pictures Does exactly what I need it to do and then some. Thanks Keepsafe;Mis;Positive;PhotosVideos   
This would be a four to five star app except that it stopped sync hung photos and albums between my iPhone 7 and iPad Air 4. Both running the identical versions. ;Sup,Usa;Negative;PhotosVideos   
Customer service responds but never follows through and never has fixed the problem. ;Mis;Negative;PhotosVideos   
Be happy to upgrade if they gave a hoot about a defect in their app.;Usa;Positive;PhotosVideos   
Great app really good love the safes send feature but there was only one thing that I would change about it. It would be immaculate if you could choose how long the persons able to view the photo therefore not allowing them to have enough time to screenshot it so if you're using the safe sane feature if the person is text savvy they can screenshot it so be careful but I would recommend it any day I love it;Usa;Positive;PhotosVideos   
The app worked well for a while but now I have to go through two or three game app adds just to access it.  I get that there will be adds on the free version but this quantity is ridiculous and frustrating.;Usa;Negative;PhotosVideos    
This app is not recognizing my password please help;Usa;Positive;PhotosVideos   
Its like a lock box of my treasures.;Mis;Positive;PhotosVideos   
Works as intended easy to use and learn;Mis;Positive;PhotosVideos   
Well worth it where have you been all my life keep safe ;Mis;Positive;PhotosVideos   
Just downloaded and Im so happy that I did.  I was a member of another app that disappointed to say the least.;Mis;Positive;PhotosVideos   
I cant believe how much more you get from Keepsafe than from the competitor.;Mis;Neutral;PhotosVideos   
It wont let you import videos and pictures now please fix;Usa;Positive;PhotosVideos   
Its amazing except theres a file that I continue trying to add that it just wont upload to a folder. So frustrating. Help;Dep,Usa;Positive;PhotosVideos  
Excelente para mantener mis archivos y fotos privadas;Mis;Neutral;PhotosVideos   
Ive always hated I cant keep naughty pictures of my gorgeous lady cause of the kids. This has been a lifesaver;Mis;Positive;PhotosVideos   
It's a great app I have been using it for a very long time and I miss the shuffle feature that you could have had in the folders.;Mis;Positive;PhotosVideos   
Easy to use. Free version has plenty of storage.;Mis;Positive;PhotosVideos   
I've had this app for years but each update brings more bugs and advertisements. Not worthy of your time.;Sup,Usa;Positive;PhotosVideos    
Youve kept photos safe that I need for evidence in a court case thanks;Mis;Positive;PhotosVideos   
It also says I have 4,325 out of 5,000. So is there still room Not backing up my photos either.;Usa;Neutral;PhotosVideos   
When I got a new phone and tried to transfer my storage, I lost all of my videos...I'm dead.;Dep,Usa;Negative;PhotosVideos   
Pretty good app hate the ads buts is free what else to want lol;Mis;Positive;PhotosVideos    
Emailed numerous times to support. Not one response. Totally outraged. Disgusted and very upset;Mis;Negative;PhotosVideos    
One of the best apps on my phone;Mis;Positive;PhotosVideos   
I only want a one time purchase to remove ads and unlimited on device storage. I don't want bells and whistles with a subscription. Missed opportunity for devs.;Usa;Positive;PhotosVideos    
This app has helped me a lot, its the best;Mis;Positive;PhotosVideos   
Wonderful to know that Keepsafe is there;Mis;Positive;PhotosVideos   
Understand why but why when And the length Dont push to paid version by being obnoxious.;Mis;Negative;PhotosVideos    
It's ok but not much basic storage;Mis;Positive;PhotosVideos    
Awesome and innovative app for photo storage;Mis;Positive;PhotosVideos   
Actually in my area this is not very accurate. I have to rely on other apps. Annoying so fix it.;Dep;Negative;Weather   
After using widget for a day or so text gets all jumbled and not able to take a quick glance at current conditions on my iPhone 7 plus.;Dep,Usa;Neutral;Weather   
Also ever since ios10, where they enhanced their lock screen widget, the widget temperature can be Illegible. Informed accuweather about this weeks ago and it's still not fixed.;Usa;Neutral;Weather   
App is unable to correctly choose location just let your customer do it. So disappointing;Dep;Negative;Weather   
Even a broken clock is right once a day  Deleting this cuz it's a waste of space. Fix the issues first.;Dep;Negative;Weather   
Got a notification from this app suggesting I might need an umbrella today. Went to the app and there was no rain in the forecast. Apparently they just wanted me to open the app, and I consider that spam. Uninstalled.;Dep;Negative;Weather    
I am constantly seeing differences in the information being displayed in one section vs. another section. e.g. UV Index might be 2 in one section and 3 in another area. It's like each section is getting it's forecast from a different source. ;Dep;Positive;Weather   
I got this app about 2 years ago based on friends using it and it was on point for precip temp. Now however it says it's going to rain on the current day forecast but usually says '0' on the weekly forecast ;Dep;Positive;Weather   
I have checked out other apps and concluded that AccuWeather is the best in most aspects. I have checked out the accuracy with the other apps and found that all were in agreement. The only thing that makes the temperature inaccurate with all the apps is that I selected Shelton, WA, but they use Olympia which is 16 miles away. Therefore the temperature is a little inaccurate. Overall I am happy with AccuWeather.;Dep;Positive;Weather  
