"content_review","sentiment_analysis","domain_name","label"
"Commercial accts need work ","Neutral","PhotosVideos","Mis"
"DO NOT RISK LOSING EVERYTHING ","Negative","PhotosVideos","Mis"
"Do not use it people please. ","Positive","PhotosVideos","Mis"
"Does everything it says it does with no flaws. Would give 1010 if I could.","Negative","PhotosVideos","Mis"
"Does what it says, 55","Neutral","PhotosVideos","Mis"
"Does what it should, and does it well.","Positive","PhotosVideos","Mis"
"Easier to use and keep picture  safer.","Positive","PhotosVideos","Mis"
"Easy to use. I strongly suggest to al my friends and people I meet in my line of work to download and even pay for the Premium version. Necessity for all adults nowadays","Positive","PhotosVideos","Mis"
"Easy to use. Really good like this one a lot better than all the other ones. 100 on everything. Simple. Couldn't ask for a better app of this sort.","Positive","PhotosVideos","Mis"
"Easy to use. The app is great","Positive","PhotosVideos","Mis"
"Even though I don't have premium I love it I'll pay for premium when I can, that's a definitely","Negative","PhotosVideos","Mis"
"Every time I try to view my files, it claims to be in private cloud when I don't even have that feature enabled. What is a private cloud anyway I don't have that Every time I try to view them, it just goes to a black screen. Fix this ASAP","Neutral","PhotosVideos","Usa"
"Everything is cool except for gifs. I upload gifs and when I try to view them, they simply don't animate. I'm sure it's not my way of saving them because I can view the gif in other apps. KeepSafe, fix gifs","Positive","PhotosVideos","Usa"
"Excelente app works great for me and keeps my info privately","Positive","PhotosVideos","Mis"
"Excellent app I like soo much","Positive","PhotosVideos","Mis"
"Excellent app the best","Positive","PhotosVideos","Mis"
"Excellent app to store pics","Positive","PhotosVideos","Mis"
"Extremely impressed with the quality of the product.","Positive","PhotosVideos","Mis"
"Fix this App ASAP ","Neutral","PhotosVideos","Mis"
"Glad the app is back to working perfectly ","Positive","PhotosVideos","Mis"
"Good App , Keeps Everything Safe. But When I Recently Switched Phones I Lost Lots Of Pics An Vids , Idk What Happened.","Positive","PhotosVideos","Mis"
"Good stuff all around.","Positive","PhotosVideos","Mis"
"Great ap  it does exactly what I need it to  is user friendly. Totes recommend","Positive","PhotosVideos","Mis"
"Great app and with lots of space for a lot pictures and etc","Positive","PhotosVideos","Mis"
"Great app for keeping photos of you don't have it you should get it","Positive","PhotosVideos","Mis"
"great app for saving your media file  i love it ","Positive","PhotosVideos","Mis"
"Great app love it","Positive","PhotosVideos","Mis"
"Great app no problems with it","Positive","PhotosVideos","Mis"
"Great app, does exactly what it's supposed to. Seamless Sharing between phones and iPads","Positive","PhotosVideos","Mis"
"Great app. Clean. Fresh. Discrete. This app saves marriages, relationships, headaches. Just hide all your private pics or vids. Set up a back up password and no one will suspect a thing. This app is a must","Positive","PhotosVideos","Mis"
"Great app. I use it all the time for storing all my private pictures.","Positive","PhotosVideos","Mis"
"Great app. Just needs to have everything for free Hahahaha","Positive","PhotosVideos","Mis"
"Great App. No claims","Positive","PhotosVideos","Mis"
"Great for keeping and uploading photos","Positive","PhotosVideos","Mis"
"Great for storing any photos that you dont want in your normal album","Positive","PhotosVideos","Mis"
"Great interface, really good accessibility with very good security and a lot of options to suit every need. By far one of the best apps I've downloaded.","Positive","PhotosVideos","Mis"
"Great tool to maintain privacy","Positive","PhotosVideos","Mis"
"Had the free version and decided to upgrade after liking it so much.  Some features still don't work well like adding files from iOS.  You have to open the app to add files.  Really like the fake pin option which allows someone to breakin the phone but doesn't show your files. I keep my id's and credit cards on the app so I always have them with me. I don't buy many apps but this was one I glad to have made the investment. ","Positive","PhotosVideos","Usa"
"Had this app for a year now and no problems at all. ","Negative","PhotosVideos","Mis"
"Have been using this app for a year now. Have never lost a pic and it is so easy to use Definitely recommend","Positive","PhotosVideos","Mis"
"Have had this app for almost a year, started with free then premium and I'm highly satisfied. Love every feature it has ","Positive","PhotosVideos","Mis"
"Hell Ive even got some pictures of the Bible in here ","Negative","PhotosVideos","Mis"
"Hi i am enjoying using keepsafe app i do recommended to anyone","Positive","PhotosVideos","Mis"
"How can I delete the app without getting charged for the premium since I cannot go back to basic before the 31 day trial  ","Positive","PhotosVideos","Mis"
"How do I get my money back I did not want to pay 25 for the year I need my money back ","Neutral","PhotosVideos","Mis"
"I accidentally deleted the app and then redownloaded it only to find out all my photos were deleted and wiped. Do not download the app ","Negative","PhotosVideos","Dep"
"I added some new photos in my keep safe and then I deleted  keep safe and the photos I added aren't there why ","Positive","PhotosVideos","Dep"
"I appreciate having this app very much. Appears secure. Good features.","Positive","PhotosVideos","Mis"
"I can always depend on this app to hide certain photos and documents. Love the trash upgrade.","Positive","PhotosVideos","Mis"
"I can hide my porn now. Perfect app for that.","Positive","PhotosVideos","Mis"
"I can't get in the app","Neutral","PhotosVideos","Mis"
"I couldn't love this app anymore. Easy to use and not glitchy at all. Every update makes it even better.","Positive","PhotosVideos","Mis"
"I deleted this app after I saved all the pictures I want and I downloaded it again and when I logged in it had the amount of pictures I saved but the pictures weren't even there","Positive","PhotosVideos","Dep"
"I deleted this app in less than 15 minutes. ","Neutral","PhotosVideos","Mis"
"I did experience the recent problem with the app crashing, but with lead from a rash review rant because plenty of others submitted theirs, and I hoped the problem would get fixed soon. And sure enough, another prompt update comes out the next day and fixes the problem. Good job team, thanks for looking out. I'm going to leave 4 Stars for now though, because I don't like ads. ","Negative","PhotosVideos","Mis"
"i downloaded this app about 2 years ago and it deleted many of my photos and i could not get them back","Neutral","PhotosVideos","Dep"
"I got this app to keep sensitive information safe. It is not let me down ones. Better yet, they keep adding features to make my life easier. Storing my information in the cloud with compressed versions on my phone saves space and gives me peace of mind if something happens to my phone, I don't lose what's important to me. Photo editing, breakin alerts, and other new features keep me a satisfied Keepsafe customer","Positive","PhotosVideos","Mis"
"I had Keepsafe for many months. I then checked on it one day, I didn't update my phone or anything and all my photos were gone I don't know what to do to recover my hundreds of photos","Neutral","PhotosVideos","Dep"
"I had over 300 plus photos that somehow got deleted when an update was done, you can not contact them for any help, I would caution if you think saving photos here that you always get them, I found out the hard way. I would make sure you have backed up elsewhere.","Positive","PhotosVideos","Dep"
"I have been using this app from past 2 years, easy to use, more reliable, secured and thumbs up for TouchID protection. Thanks Dev Team","Positive","PhotosVideos","Mis"
"I have continued to be charged monthly despite being asked multiple times to cancel. I even uninstalled this app months ago and I'm still being charged.","Negative","PhotosVideos","Mis"
"I have had 1 issue where, throughout the 5 years I've used this app, my photos went missing. I lost all but 3 of my 4050 pictures. This was unfortunate, but what can you do If you really need to have certain videosphotos I'd suggest backing it up on your computer, then keeping it in this app on your phone. For me, the point is that it's not in my camera roll.","Negative","PhotosVideos","Dep"
"I have had this APP for well over a year and it has never let me down. I've changed phones multiple times and it has even warned me about the new iso10 software upgrade issues before Apple even did. I highly recommend this APP for a secure way to save your important photos","Positive","PhotosVideos","Dep"
"I have pictures of me in the old wife on here reading the Bible together  ","Neutral","PhotosVideos","Mis"
"I have purchased keepsafe on my last 3 iPhones and I have even recommended it to many friends.","Positive","PhotosVideos","Mis"
"I have the free version, and I love it.","Positive","PhotosVideos","Mis"
"I have tried many photo storage apps but this one takes the cake. I am pretty frugal but after a year of using it I decided to buy a year membership. Worth EVERY penny, and I won't go back. Keep it awesome","Positive","PhotosVideos","Mis"
"I hide alot off things in here ........if someone gets in then the whole worls is at stakes........good product sell its self","Negative","PhotosVideos","Mis"
"I highly recommend this app.  ","Positive","PhotosVideos","Mis"
"I hope all the best for the company","Positive","PhotosVideos","Mis"
"I hope they'll consider onetime payment schema.. i dont need the cloud service.. so i dont wAnna pay annually..just need the app ","Positive","PhotosVideos","Sup"
"I just don't like how it runs out of storage other than that its 5 stars ","Negative","PhotosVideos","Mis"
"I just don't like the way I can't go back to my deleted photos ","Negative","PhotosVideos","Mis"
"I just gotta say I love this app","Positive","PhotosVideos","Mis"
"I like this app and I segues to make stronger security by making six digit password and thanks alot","Positive","PhotosVideos","Mis"
"I like this app but one of my videos cant play..please fix ","Positive","PhotosVideos","Usa"
"I like this app it functions very well","Positive","PhotosVideos","Mis"
"I looked on my phone one day and there were two of each picture. So I deleted one of each. As soon as I did. All the pictures disappeared. This angers me on belief, now it wants me to buy premium to get them back. FIX THIS ISSUE","Negative","PhotosVideos","Dep"
"I lost all of my pictures because of some stupid update they tried to do which has the app glitching. 2 years of pictures down the toilet thanks a lot KeepSafe","Negative","PhotosVideos","Dep"
"I love being able to store secure photos. ","Positive","PhotosVideos","Mis"
"I love how the app has really thought about things how you can fake the app is something that checks for errors and then you can log in for the real stuff or use a second password and see a different photo album there are so many features it's so worth the money","Positive","PhotosVideos","Mis"
"I love my keepsafe. No one can see my pictures with out my knowledge.","Positive","PhotosVideos","Mis"
"I love this app about to expose my girl for being a ho thank you keep safe had her nudes over 2 years and now getting my payback","Positive","PhotosVideos","Mis"
"I love this app and recommend it to everyone, it's perfect and works great","Positive","PhotosVideos","Mis"
"I love this app  Tried the free version first but then I paid for upgrade and it's worth every penny. They have improved it tremendously from previous version and it was good even then. Perfect for saving photos and memories. Developers of this app deserve so much recognition for this one","Positive","PhotosVideos","Mis"
"I love this app It's on point","Positive","PhotosVideos","Mis"
"I Love this app, I've been using it for years and it's really a life saver.","Positive","PhotosVideos","Mis"
"I love this programEasy to use, great features and attentive and helpful customer service.","Positive","PhotosVideos","Mis"
"I loved this app. But forcing me to buy premium by shoving ads at me at random times is a terrible business model. I will not buy premium to support a company that thinks pop up ads are needed.","Positive","PhotosVideos","Usa"
"I mainly use the app to hide nude pictures of my sex adventures. In over three years I have not been caught once","Positive","PhotosVideos","Mis"
"I need my account back I have files that important and photos And or my money back","Positive","PhotosVideos","Dep"
"I paid just so I could recover photos I had on a previous phone and all the photos are just black.  Please fix or refund please","Positive","PhotosVideos","Dep"
"I really like the new design. KeepSafe has been super helpful to me. One of the most important apps on my phone","Positive","PhotosVideos","Mis"
"I really like this app and my videos are safe but they won't play. Hmmm what's up with that","Positive","PhotosVideos","Usa"
"I really like this app for keeping certain videos and pictures private. It's the ultimate app for discretion, and I highly recommend it if you have nosy friends or small kids. ","Positive","PhotosVideos","Mis"
"I recommend I've had this app now for 3 years and I love it","Positive","PhotosVideos","Mis"
"I stick to this app vs all others because you can delete the app with pics still on it and when you download it back again login and boom your pics right there","Neutral","PhotosVideos","Mis"
"I think it's great. It secures pictures  everything else you don't want others to see while they're on your phone.","Positive","PhotosVideos","Mis"
"I think the functionality and design of the staff are great. I remember it.","Positive","PhotosVideos","Mis"
"I TRIED A LOT OF PROGRAMS LIKE THIS ONE AND THIS IS THE PROGRAM THE I WAS LOOKING FOR I LOST M PHONE AND I HAVE BACK ALL ME PICTURES I LOVET REALLY GOOD IM SO HAPPY  WITH THE PROGRAM ","Positive","PhotosVideos","Dep"
"I tried the free version, upgraded to the paid, and bought additional cloud storage.  So far, all good investments.","Positive","PhotosVideos","Mis"
"I tried this app while looking for options for completely private photo storage, and though it sounded OK at first, it rots.  ","Positive","PhotosVideos","Mis"
"I upgraded to premium saved twenty or so pictures and later the same day accidentally uninstalled keepsafe and all of my pictures were gone off my keepsafe anyway to get them back Deleted the originals.","Positive","PhotosVideos","Dep"
"I went to purchase the 1.99 premium for a month, just so I can see what photos I had previously deleted. When it charged me with the yearly subscription of 23.99. I'm very upset about this and want a refund.","Negative","PhotosVideos","Dep"
"I will cry if I don't get my pictures back. my most meaningful pictures. gone. how could this happen you guys need to FIX this NOW. I want my pictures back. It is such a devastating and heart breaking feeling to loose such meaningful pictures. Please. FIX THIS NOW ","Negative","PhotosVideos","Mis"
"I will not regret getting this app. Most useful.","Positive","PhotosVideos","Mis"
"I wish I could give this 0 stars, they def should be more clear when saying 1.99 a month that they are gonna charge you 24 for the whole year up front This app is definitely not worth 24 never would've paid that if I knew ","Positive","PhotosVideos","Mis"
"I would've given it five stars, but the ridiculous ads that take up my entire screen just make me want to install a different app. ","Negative","PhotosVideos","Usa"
"I'm enjoying the app","Positive","PhotosVideos","Mis"
"I'm one of those that deletes app ever other week or so. ","Neutral","PhotosVideos","Mis"
"I've been a user for about 3 years now After numerous improvements and bug fixes to keep the user happy Keepsafe has finally done it it's perfect I couldn't ask for a better app Definitely has saved my life many times lol.","Positive","PhotosVideos","Mis"
"I've been using this app for a couple years now and it's just been an awesome way to keep my private photos private","Positive","PhotosVideos","Mis"
"I've Been with keep safe from the begging. I'm extremely furious at the fact that ALL OF MY STUFF WAS DELETED WITHOUT MY PERMISSION.","Negative","PhotosVideos","Dep"
"I've had it for years. Super helpful to separate photos that I don't want out in the open when I flick through my camera roll","Positive","PhotosVideos","Mis"
"I've had this app to store my secondary photo album and I absolutely love it","Positive","PhotosVideos","Mis"
"I've just used the free version and it does everything I need. All my stuff is backed up to the cloud so even if I switch devices I still have them. Constant updates. Never really had issues with any bugs. If the paid subscription was cheaper I would let mind paying for the extras. But too much imo.","Positive","PhotosVideos","Dep"
"I've used it for quite a while and it has been fantastic. Touch ID is an added plus","Positive","PhotosVideos","Mis"
"If you need an app that will store your private pictures and is password protected this app does just that. You can even delete pictures from your camera reel after importing them into Keepsafe. So I thought that was a pretty neat feature too.","Positive","PhotosVideos","Mis"
"Instead of making every attribute to keepsafe only recoverable with premium, you guys should sell them individually because I would most definitely pay 1.99 each time I need to recover things in the trash.  I would never pay 23.99 a year for that and I am probably speaking for every other user of keepsafe. Just a point you guys should act on. ","Positive","PhotosVideos","Mis"
"It don't save the pictures all the time and if it do they delete them..","Negative","PhotosVideos","Dep"
"It is a good app but I would suggest not putting anything on there that can expose person information or intimate pictures it's a app they can access that stuff. Also before you delete make sure to back everything up outside the app so you loose nothing be careful with this app but there is good things to like the secret door or the picture taking of hackers","Positive","PhotosVideos","Mis"
"It is better thin the other App out there and it's simple to use.","Positive","PhotosVideos","Mis"
"It is perfect for hiding pictures or ever just for extra storage. Has many great features","Positive","PhotosVideos","Mis"
"It is really good ... I love that I can keep my pictures in it save and sound ...","Positive","PhotosVideos","Mis"
"It keeps all my private photos together nicely. It is effortless to uploadshare to app. Simple and easy. I think anyone can do successfully. Great app. 5 stars without question I wish all apps were this good","Positive","PhotosVideos","Mis"
"It says I can pay 1.99 monthly which I'm trying to buy for one month to see how I like it but it's forcing me to have to pay 23.99 ","Neutral","PhotosVideos","Mis"
"It was really nice to get this apps I like it so much and I advise you all to have it in ur phones","Positive","PhotosVideos","Mis"
"It works great so far, but could be even better with future updates. Wish the free version had more features","Positive","PhotosVideos","Mis"
"It works like it should and it's easy to use. Can't get any better than that.","Positive","PhotosVideos","Mis"
"It works so well. Setup is simple and now I have a private space on my phone","Positive","PhotosVideos","Mis"
"It's a good app for its purpose my only problem is that, getting photos back you delete or accidentally get deleted shouldn't be a premium options ","Negative","PhotosVideos","Mis"
"It's a great way for me to store Keyerra's boyfriend's  in my phone ","Positive","PhotosVideos","Mis"
"It's a really good app,  finally found a good app that will actually had my photos so nobod else can see them and it actually works I'm very please with this app","Positive","PhotosVideos","Mis"
"It's an awesome app for secure photos","Positive","PhotosVideos","Mis"
"It's nice when something works as advertised. I didn't need or want anything fancy, just wanted something that works...and this does","Positive","PhotosVideos","Mis"
"It's the best app I've used to store my pictures, I've upgraded to the pay one and don't regret it","Positive","PhotosVideos","Mis"
"It's very helpful and organized","Positive","PhotosVideos","Mis"
"It's very useful in keeping private the important documents","Positive","PhotosVideos","Mis"
"It's worth to sign up to be a premium member..it's sure saves me from headache..","Positive","PhotosVideos","Mis"
"Keep all pics organized and safe","Positive","PhotosVideos","Mis"
"Keepsafe is wonderful All my photos are not just out for public view when others are using my phone.","Positive","PhotosVideos","Mis"
"Keepsafe puts your files in their cloud WITHOUT ALERTING YOU, then does NOT give you the option to remove them from the cloud. In other words they have permission to steal your private files. They have refused to respond to my requests for help in deleting files off the cloud. DO. NOT. USE. ","Negative","PhotosVideos","Mis"
"Long time user. Pretty easy to use and nice option to keep things precious to you safe. Worth the upgrade for the premium options.","Positive","PhotosVideos","Mis"
"Lost everything I had on this app, support group said to update my iPhone, I did with no help plus the update I hate. No way I can replace my kids photos.","Negative","PhotosVideos","Dep"
"LOVE is an understatement. Perfect for hiding pictures and videos. Love the passcode lock. Seriously considering upgrading to the premium. It's beyond worth it","Positive","PhotosVideos","Mis"
"Love it, great app love the cloud feature and back up","Positive","PhotosVideos","Mis"
"Love it, this is the best app for photos","Positive","PhotosVideos","Mis"
"Love the app hate all the ads that pop up And also wondering if it can retrieve old videos from old phone, the pix came threw but not the videos","Positive","PhotosVideos","Mis"
"Love the security it offers and the space saving features.","Positive","PhotosVideos","Mis"
"Love this app  Had the free version for a while but bought the premium a few months ago and love it.","Positive","PhotosVideos","Mis"
"Love this app Never crashes and does what it says","Positive","PhotosVideos","Mis"
"Love this app, it is perfect for my needs and I've tried a lot of apps and this is by far my favorite","Positive","PhotosVideos","Mis"
"Love this app. I have had a few locked photos app and this one by far is the best.","Positive","PhotosVideos","Mis"
"Love this appp Nothing is better then this ","Positive","PhotosVideos","Mis"
"Make sure you double check that your photos are there after transferring them from your photo gallery before permanently deleted them. This POS app lost my pics. Ive been using this app for years and now I'm canning it","Neutral","PhotosVideos","Dep"
"Makes it very easy to keep pictures videos not only private, but easily organized. One of my most useful apps.","Positive","PhotosVideos","Mis"
"I have had this app for years. Still no complaints","Negative","PhotosVideos","Mis"
"Keepsafe is such a great app.","Positive","PhotosVideos","Mis"
"Great app, does exactly what it's supposed to. Seamless Sharing between all devices.","Positive","PhotosVideos","Mis"
"Keeps all of my personal files out of reach of someone who might be borrowing my phone and scrolls too far...","Neutral","PhotosVideos","Mis"
"Es una app verstil y muy rpida","Neutral","PhotosVideos","Mis"
"Its nice to know there is a secure place to put documents on my phone that wont mistakenly be opened by anyone. My grandkids cant access or delete, nice","Positive","PhotosVideos","Mis"
"DELETED HALF MY PICS, BOUGHT PREMIUM TO GET THEM BACK.DELETED THE NEXT HALF AND NOW CANT GET OFF PREMIUM.  PLEASE KEEPSAFE EMAIL ME HELP ME I AM BEGGING YOU.  YOU TOOK ALL MY PHOTOS AND NOW MY MONEY","Positive","PhotosVideos","Dep"
"No complaints, been using it for years now","Negative","PhotosVideos","Mis"
"Its not letting me import files from my gallery to the apps cloud yet it tells me I still have a lot of available space on the cloud... it was great until it stopped working ","Positive","PhotosVideos","Dep,Usa"
"Takes up a lot of space on phone but very useful for storing photos and videos on your phone without having to have them in your camera roll.","Positive","PhotosVideos","Per"
"Ive never had any problems, works great","Positive","PhotosVideos","Mis"
"The most complete app for hide photos","Negative","PhotosVideos","Mis"
"Love it had it for about 4 years on 3 phones this app is very safe and doesn't fail me one bit","Positive","PhotosVideos","Mis"
"I really like this app.It keeps all my photos saved and secured.Its password protected album keeps anyone who I dont want to see my picture out of the problem.I dont have to worry about security because I know its taken care of.Also it helped with the spacing issue on my iPhone.","Positive","PhotosVideos","Mis"
"Its reliable way to keep files and photos","Neutral","PhotosVideos","Mis"
"Had sensitive data stored in this app for a year, and now app will not open to password page. Loved it while it lasted but now my documents are disappeared and to where Who knows Files stored that I can no longer access does not exactly equate to secure.","Positive","PhotosVideos","Dep,Usa"
"This is one of the best apps Ive ever used. High satisfied.","Positive","PhotosVideos","Mis"
"Like that I have control of my pictures and important pictures of documents. I recommend it","Positive","PhotosVideos","Mis"
"I don't have any problems having the app It saves my stuff even when I don't have the app on my phone. I love the app. Very useful Ive had it since I was young in age  still keep important stuff in there  it saves everything like iCloud. The iPhone X comes out which mines I will have to download KeepSafe again  I wont have to worry because this amazing app keep my important stuff safe  in the cloud Great app download it ASAP","Positive","PhotosVideos","Mis"
"it keeps my pictures for about a week then deletes them, then it tells me i have to buy premium to get the all back. ","Neutral","PhotosVideos","Dep,Usa"
"I love this app. Ive been using it for years and have even recommended it to family friends for storing photos, videos and any other information you dont want to lose. I love that it keeps everything stored and you can login into it from any phone that the app is on and retrieve what you stored.","Positive","PhotosVideos","Mis"
"Won't say what I keep in here but for most young folk I'm sure it's the same type of pictures Does exactly what I need it to do and then some. Thanks Keepsafe","Positive","PhotosVideos","Mis"
"This would be a four to five star app except that it stopped sync hung photos and albums between my iPhone 7 and iPad Air 4. Both running the identical versions. ","Negative","PhotosVideos","Sup,Usa"
"Customer service responds but never follows through and never has fixed the problem. ","Negative","PhotosVideos","Mis"
"Be happy to upgrade if they gave a hoot about a defect in their app.","Positive","PhotosVideos","Usa"
"Great app really good love the safes send feature but there was only one thing that I would change about it. It would be immaculate if you could choose how long the persons able to view the photo therefore not allowing them to have enough time to screenshot it so if you're using the safe sane feature if the person is text savvy they can screenshot it so be careful but I would recommend it any day I love it","Positive","PhotosVideos","Usa"
"The app worked well for a while but now I have to go through two or three game app adds just to access it.  I get that there will be adds on the free version but this quantity is ridiculous and frustrating. ","Negative","PhotosVideos","Usa"
"This app is not recognizing my password please help","Positive","PhotosVideos","Usa"
"Its like a lock box of my treasures.","Positive","PhotosVideos","Mis"
"Works as intended easy to use and learn","Positive","PhotosVideos","Mis"
"Well worth it where have you been all my life keep safe ","Positive","PhotosVideos","Mis"
"Just downloaded and Im so happy that I did.  I was a member of another app that disappointed to say the least.","Positive","PhotosVideos","Mis"
"I cant believe how much more you get from Keepsafe than from the competitor.","Neutral","PhotosVideos","Mis"
"It wont let you import videos and pictures now please fix","Positive","PhotosVideos","Usa"
"Its amazing except theres a file that I continue trying to add that it just wont upload to a folder. So frustrating. Help","Positive","PhotosVideos","Dep,Usa"
"Excelente para mantener mis archivos y fotos privadas","Neutral","PhotosVideos","Mis"
"Ive always hated I cant keep naughty pictures of my gorgeous lady cause of the kids. This has been a lifesaver","Positive","PhotosVideos","Mis"
"It's a great app I have been using it for a very long time and I miss the shuffle feature that you could have had in the folders.","Positive","PhotosVideos","Mis"
"Easy to use. Free version has plenty of storage.","Positive","PhotosVideos","Mis"
"I've had this app for years but each update brings more bugs and advertisements. Not worthy of your time. ","Positive","PhotosVideos","Sup,Usa"
"Youve kept photos safe that I need for evidence in a court case thanks","Positive","PhotosVideos","Mis"
"It also says I have 4,325 out of 5,000. So is there still room Not backing up my photos either.","Neutral","PhotosVideos","Usa"
"When I got a new phone and tried to transfer my storage, I lost all of my videos...I'm dead.","Negative","PhotosVideos","Dep,Usa"
"Pretty good app hate the ads buts is free what else to want lol ","Positive","PhotosVideos","Mis"
"Emailed numerous times to support. Not one response. Totally outraged. Disgusted and very upset ","Negative","PhotosVideos","Mis"
"One of the best apps on my phone","Positive","PhotosVideos","Mis"
"I only want a one time purchase to remove ads and unlimited on device storage. I don't want bells and whistles with a subscription. Missed opportunity for devs. ","Positive","PhotosVideos","Usa"
"This app has helped me a lot, its the best","Positive","PhotosVideos","Mis"
"Wonderful to know that Keepsafe is there","Positive","PhotosVideos","Mis"
"Understand why but why when And the length Dont push to paid version by being obnoxious. ","Negative","PhotosVideos","Mis"
"It's ok but not much basic storage ","Positive","PhotosVideos","Mis"
"Awesome and innovative app for photo storage","Positive","PhotosVideos","Mis"
"Actually in my area this is not very accurate. I have to rely on other apps. Annoying so fix it.","Negative","Weather","Dep"
"After using widget for a day or so text gets all jumbled and not able to take a quick glance at current conditions on my iPhone 7 plus.","Neutral","Weather","Dep,Usa"
"Also ever since ios10, where they enhanced their lock screen widget, the widget temperature can be Illegible. Informed accuweather about this weeks ago and it's still not fixed.","Neutral","Weather","Usa"
"App is unable to correctly choose location just let your customer do it. So disappointing","Negative","Weather","Dep"
"Even a broken clock is right once a day  Deleting this cuz it's a waste of space. Fix the issues first.","Negative","Weather","Dep"
"Got a notification from this app suggesting I might need an umbrella today. Went to the app and there was no rain in the forecast. Apparently they just wanted me to open the app, and I consider that spam. Uninstalled. ","Negative","Weather","Dep"
